,Train_Acc,Train_Loss,Test_Acc,Test_Loss,AUC,TN,FP,FN,TP,Accuracy,Precision,Recall,Specificity,FPR
0,100.00,0.11,68.18,0.28,0.62,12.00,2.00,5.00,3.00,0.68,0.60,0.38,0.86,0.14
1,100.00,0.03,72.73,0.20,0.74,9.00,4.00,2.00,7.00,0.73,0.64,0.78,0.69,0.31
2,98.04,0.03,81.82,0.10,0.82,7.00,4.00,0.00,11.00,0.82,0.73,1.00,0.64,0.36
3,98.04,0.04,95.45,0.02,0.95,11.00,0.00,1.00,10.00,0.95,1.00,0.91,1.00,0.00
4,100.00,0.02,86.36,0.10,0.87,11.00,2.00,1.00,8.00,0.86,0.80,0.89,0.85,0.15
5,100.00,0.01,90.91,0.06,0.91,10.00,1.00,1.00,10.00,0.91,0.91,0.91,0.91,0.09
6,98.04,0.02,95.45,0.02,0.96,13.00,1.00,0.00,8.00,0.95,0.89,1.00,0.93,0.07
7,98.04,0.02,100.00,0.00,1.00,13.00,0.00,0.00,9.00,1.00,1.00,1.00,1.00,0.00
8,98.04,0.02,100.00,0.00,1.00,11.00,0.00,0.00,11.00,1.00,1.00,1.00,1.00,0.00
9,98.04,0.02,100.00,0.00,1.00,11.00,0.00,0.00,11.00,1.00,1.00,1.00,1.00,0.00
10,100.00,0.00,95.45,0.05,0.95,12.00,0.00,1.00,9.00,0.95,1.00,0.90,1.00,0.00
11,98.04,0.02,100.00,0.00,1.00,13.00,0.00,0.00,9.00,1.00,1.00,1.00,1.00,0.00
12,98.04,0.02,100.00,0.00,1.00,12.00,0.00,0.00,10.00,1.00,1.00,1.00,1.00,0.00
13,100.00,0.00,95.45,0.05,0.95,11.00,0.00,1.00,10.00,0.95,1.00,0.91,1.00,0.00
14,98.04,0.02,100.00,0.00,1.00,10.00,0.00,0.00,12.00,1.00,1.00,1.00,1.00,0.00
15,100.00,0.00,95.45,0.05,0.95,11.00,0.00,1.00,10.00,0.95,1.00,0.91,1.00,0.00
16,98.04,0.02,100.00,0.00,1.00,10.00,0.00,0.00,12.00,1.00,1.00,1.00,1.00,0.00
17,98.04,0.02,100.00,0.00,1.00,15.00,0.00,0.00,7.00,1.00,1.00,1.00,1.00,0.00
