candidate_id,test_time,Avg_RT,correct_percent,efficiency,con_RT,inc_RT,con_correct,inc_correct,con_index,inc_index,conflict_index
1,2019-07-18T23:17:55.259Z,546.65,100,546.65,530,563.3,10,10,530,563.3,33.3
1,2019-06-03T15:46:17.844Z,417.35,65,642.0769231,475.6,359.1,10,3,475.6,1197,721.4
2,2019-07-23T21:38:55.997Z,604.25,95,636.0526316,505.9,702.6,10,9,505.9,780.6666667,274.7666667
2,2019-06-03T15:54:42.940Z,605.8,80,757.25,551.6,660,9,7,612.8888889,942.8571429,329.968254
4,2019-07-18T21:19:59.373Z,473.3,80,591.625,469.8,476.8,10,6,469.8,794.6666667,324.8666667
4,2019-06-03T15:51:50.114Z,559.55,95,589,510,609.1,10,9,510,676.7777778,166.7777778
5,2019-07-18T22:43:09.570Z,832.1,45,1849.111111,936.1,728.1,7,2,1337.285714,3640.5,2303.214286
5,2019-06-03T15:48:21.290Z,505.1,95,531.6842105,505.3,504.9,10,9,505.3,561,55.7
6,2019-07-18T21:21:16.601Z,574.4,95,604.6315789,548.5,600.3,10,9,548.5,667,118.5
6,2019-06-03T16:21:15.903Z,458,65,704.6153846,462.6,453.4,10,3,462.6,1511.333333,1048.733333
7,2019-07-18T21:12:04.957Z,466.35,85,548.6470588,421.8,510.9,10,7,421.8,729.8571429,308.0571429
7,2019-06-03T16:23:54.054Z,486.05,75,648.0666667,462.9,509.2,10,5,462.9,1018.4,555.5
9,2019-07-26T14:59:05.705Z,490.6,85,577.1764706,444.8,536.4,10,7,444.8,766.2857143,321.4857143
9,2019-06-03T16:23:00.383Z,496.1,85,583.6470588,441.3,550.9,10,7,441.3,787,345.7
10,2019-07-18T21:44:24.688Z,450.65,80,563.3125,458.4,442.9,10,6,458.4,738.1666667,279.7666667
10,2019-06-03T16:22:09.188Z,480.7,80,600.875,472.7,488.7,10,6,472.7,814.5,341.8
12,2019-07-18T21:13:14.012Z,565.2,100,565.2,524.1,606.3,10,10,524.1,606.3,82.2
12,2019-06-03T16:00:38.814Z,566.75,85,666.7647059,533.1,600.4,8,9,666.375,667.1111111,0.736111111
16,2019-07-18T21:36:08.003Z,506.45,90,562.7222222,479.7,533.2,10,8,479.7,666.5,186.8
16,2019-06-03T15:13:04.949Z,508.15,80,635.1875,467.2,549.1,10,6,467.2,915.1666667,447.9666667
17,2019-07-18T21:26:45.480Z,471.4,95,496.2105263,417.2,525.6,10,9,417.2,584,166.8
17,2019-06-03T16:02:45.142Z,565.4,100,565.4,507.8,623,10,10,507.8,623,115.2
18,2019-07-18T21:33:03.005Z,535.85,100,535.85,491,580.7,10,10,491,580.7,89.7
18,2019-06-03T15:49:50.030Z,443.3,70,633.2857143,447.3,439.3,8,6,559.125,732.1666667,173.0416667
19,2019-07-23T21:06:44.075Z,524.9,90,583.2222222,493.7,556.1,10,8,493.7,695.125,201.425
19,2019-06-03T15:23:30.376Z,434.25,75,579,383.7,484.8,9,6,426.3333333,808,381.6666667
20,2019-07-23T22:11:51.355Z,482.1,75,642.8,482.5,481.7,9,6,536.1111111,802.8333333,266.7222222
20,2019-06-03T15:58:09.112Z,457.25,70,653.2142857,454.9,459.6,9,5,505.4444444,919.2,413.7555556
21,2019-07-23T22:13:26.628Z,511,95,537.8947368,471.8,550.2,10,9,471.8,611.3333333,139.5333333
21,2019-06-03T16:06:17.399Z,503.5,80,629.375,491.4,515.6,10,6,491.4,859.3333333,367.9333333
24,2019-07-18T21:09:50.683Z,460.15,90,511.2777778,430.6,489.7,10,8,430.6,612.125,181.525
24,2019-06-03T15:21:43.046Z,531.25,90,590.2777778,563.8,498.7,9,9,626.4444444,554.1111111,-72.33333333
25,2019-07-18T21:52:13.502Z,389.1,60,648.5,410.3,367.9,9,3,455.8888889,1226.333333,770.4444444
25,2019-06-03T15:20:16.111Z,520.7,100,520.7,482.8,558.6,10,10,482.8,558.6,75.8
26,2019-07-26T15:22:08.480Z,506.6,100,506.6,465.9,547.3,10,10,465.9,547.3,81.4
26,2019-06-03T15:18:48.113Z,588.05,100,588.05,541.4,634.7,10,10,541.4,634.7,93.3
28,2019-07-18T21:16:53.830Z,534.2,95,562.3157895,532.1,536.3,10,9,532.1,595.8888889,63.78888889
28,2019-06-03T15:17:18.159Z,494.35,85,581.5882353,468.2,520.5,10,7,468.2,743.5714286,275.3714286
31,2019-07-18T21:38:15.985Z,562,100,562,517,607,10,10,517,607,90
31,2019-06-03T17:18:11.183Z,441.75,70,631.0714286,420.9,462.6,10,4,420.9,1156.5,735.6
32,2019-07-18T22:52:44.983Z,521.1,95,548.5263158,518.4,523.8,10,9,518.4,582,63.6
32,2019-06-03T17:08:48.830Z,430,80,537.5,443.5,416.5,10,6,443.5,694.1666667,250.6666667
34,2019-07-18T21:37:48.516Z,566,90,628.8888889,535.1,596.9,10,8,535.1,746.125,211.025
34,2019-06-03T17:10:31.475Z,570.2,80,712.75,552.6,587.8,10,6,552.6,979.6666667,427.0666667
35,2019-07-18T21:11:56.336Z,552.3,90,613.6666667,526.4,578.2,10,8,526.4,722.75,196.35
35,2019-06-03T16:59:02.483Z,462.25,75,616.3333333,453.7,470.8,10,5,453.7,941.6,487.9
36,2019-07-23T21:28:07.322Z,469.2,85,552,400.3,538.1,10,7,400.3,768.7142857,368.4142857
36,2019-06-03T17:30:38.627Z,446.7,60,744.5,432,461.4,10,2,432,2307,1875
37,2019-07-18T21:43:49.395Z,512.5,90,569.4444444,502,523,10,8,502,653.75,151.75
37,2019-06-03T17:20:12.740Z,412.9,70,589.8571429,403.7,422.1,6,8,672.8333333,527.625,-145.2083333
38,2019-07-18T23:40:59.422Z,583.1,100,583.1,534.7,631.5,10,10,534.7,631.5,96.8
38,2019-06-03T17:02:23.175Z,527.5,85,620.5882353,493.5,561.5,10,7,493.5,802.1428571,308.6428571
40,2019-07-23T22:47:12.922Z,485.6,100,485.6,449.4,521.8,10,10,449.4,521.8,72.4
40,2019-06-03T17:00:27.912Z,495.85,70,708.3571429,423.3,568.4,7,7,604.7142857,812,207.2857143
43,2019-07-18T21:27:50.111Z,550.3,90,611.4444444,494.4,606.2,10,8,494.4,757.75,263.35
