candidate_id,test_time,Avg_RT,correct_percent,efficiency,con_RT,inc_RT,con_correct,inc_correct,con_index,inc_index,conflict_index
43,2019-06-03T17:38:19.327Z,508.9,60,848.1666667,392.5,625.3,5,7,785,893.2857143,108.2857143
45,2019-07-23T22:42:11.099Z,487.7,95,513.3684211,467.8,507.6,10,9,467.8,564,96.2
45,2019-06-03T17:05:22.333Z,482,75,642.6666667,473.7,490.3,9,6,526.3333333,817.1666667,290.8333333
46,2019-07-18T21:23:07.637Z,586.05,95,616.8947368,476.1,696,9,10,529,696,167
46,2019-06-03T17:03:50.879Z,474.35,85,558.0588235,466.3,482.4,9,8,518.1111111,603,84.88888889
47,2019-07-23T22:20:13.231Z,563.85,100,563.85,541.5,586.2,10,10,541.5,586.2,44.7
47,2019-06-03T17:15:19.321Z,508.15,55,923.9090909,493.1,523.2,7,4,704.4285714,1308,603.5714286
50,2019-07-26T15:51:23.236Z,489.15,80,611.4375,425.7,552.6,10,6,425.7,921,495.3
50,2019-06-03T17:14:00.609Z,483.45,60,805.75,452.6,514.3,10,2,452.6,2571.5,2118.9
51,2019-07-18T22:39:07.297Z,523,70,747.1428571,531.5,514.5,10,4,531.5,1286.25,754.75
51,2019-06-03T17:34:12.508Z,495.85,95,521.9473684,450.1,541.6,10,9,450.1,601.7777778,151.6777778
