candidate_id,test_time,answers_count,Avg_RT,correct,correct_percent,efficiency,con_RT,stddev_con_RT,cov_con,inc_RT,stddev_inc_RT,cov_inc,con_correct,inc_correct,con_index,inc_index,conflict_index,con_time_minus_incontime,con_count,inc_count,Con_RT_Correct
30018,2019-06-03T15:49:50.030Z,20,443.3,14,70,633.2857143,447.3,199.3751628,0.445730299,439.3,176.137604,0.400950612,8,6,559.125,732.1666667,173.0416667,8,10,10,536.375
30019,2019-07-23T21:06:44.075Z,20,524.9,18,90,583.2222222,493.7,71.7418985,0.145314763,556.1,71.28417309,0.128185889,10,8,493.7,695.125,201.425,-62.4,10,10,493.7
30019,2019-06-03T15:23:30.376Z,20,434.25,15,75,579,383.7,108.9689558,0.283995194,484.8,91.9780167,0.189723632,9,6,426.3333333,808,381.6666667,-101.1,10,10,414.4444444
30020,2019-07-23T22:11:51.355Z,20,482.1,15,75,642.8,482.5,33.77786915,0.070005946,481.7,29.11299824,0.060438028,9,6,536.1111111,802.8333333,266.7222222,0.8,10,10,479
30020,2019-06-03T15:58:09.112Z,20,457.25,14,70,653.2142857,454.9,63.09331713,0.138697114,459.6,54.0949782,0.117700127,9,5,505.4444444,919.2,413.7555556,-4.7,10,10,466.1111111
30021,2019-07-23T22:13:26.628Z,20,511,19,95,537.8947368,471.8,31.40700559,0.066568473,550.2,85.74743274,0.155847751,10,9,471.8,611.3333333,139.5333333,-78.4,10,10,471.8
30021,2019-06-03T16:06:17.399Z,20,503.5,16,80,629.375,491.4,39.71061991,0.080811192,515.6,70.19686603,0.136145978,10,6,491.4,859.3333333,367.9333333,-24.2,10,10,491.4
30022,2019-06-03T16:10:01.040Z,20,550.05,19,95,579,505.2,49.95286667,0.098877408,594.9,70.05783325,0.11776405,10,9,505.2,661,155.8,-89.7,10,10,505.2
30023,2019-06-03T16:11:27.638Z,20,523.2,20,100,523.2,473.1,57.87428905,0.122329928,573.3,40.92554215,0.07138591,10,10,473.1,573.3,100.2,-100.2,10,10,473.1
30024,2019-07-18T21:09:50.683Z,20,460.15,18,90,511.2777778,430.6,49.77326368,0.115590487,489.7,38.13441141,0.077873007,10,8,430.6,612.125,181.525,-59.1,10,10,430.6
30024,2019-06-03T15:21:43.046Z,20,531.25,18,90,590.2777778,563.8,52.85367642,0.093745435,498.7,199.9572454,0.400956979,9,9,626.4444444,554.1111111,-72.33333333,65.1,10,10,559.1111111
30025,2019-07-18T21:52:13.502Z,20,389.1,12,60,648.5,410.3,129.7151152,0.316147003,367.9,171.541022,0.466270785,9,3,455.8888889,1226.333333,770.4444444,42.4,10,10,407.5555556
30025,2019-06-03T15:20:16.111Z,20,520.7,20,100,520.7,482.8,48.10590169,0.099639399,558.6,27.82564764,0.049813189,10,10,482.8,558.6,75.8,-75.8,10,10,482.8
30026,2019-07-26T15:22:08.480Z,20,506.6,20,100,506.6,465.9,54.33118605,0.116615553,547.3,21.21346533,0.038760214,10,10,465.9,547.3,81.4,-81.4,10,10,465.9
30026,2019-06-03T15:18:48.113Z,20,588.05,20,100,588.05,541.4,77.78203163,0.143668326,634.7,48.82178476,0.076921041,10,10,541.4,634.7,93.3,-93.3,10,10,541.4
30027,2019-06-03T16:17:23.116Z,20,466.25,16,80,582.8125,452.5,43.67111937,0.096510761,480,46.30814663,0.096475305,8,8,565.625,600,34.375,-27.5,10,10,461.875
30028,2019-07-18T21:16:53.830Z,20,534.2,19,95,562.3157895,532.1,175.1421328,0.329152664,536.3,49.95119841,0.093140404,10,9,532.1,595.8888889,63.78888889,-4.2,10,10,532.1
30028,2019-06-03T15:17:18.159Z,20,494.35,17,85,581.5882353,468.2,38.7034308,0.082664312,520.5,50.27314282,0.096586249,10,7,468.2,743.5714286,275.3714286,-52.3,10,10,468.2
30029,2019-07-26T15:20:23.092Z,20,472.8,18,90,525.3333333,449.5,62.90071542,0.139934851,496.1,66.05628913,0.133151157,10,8,449.5,620.125,170.625,-46.6,10,10,449.5
